"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"866","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 09:51:16,FALSE,NA,"784692631737630720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aafimiaa",164,TRUE,FALSE,NA,NA
"867","RT @sandromarcos7: Wishing I was at the inauguration. Congratulations to President Rodrigo Duterte!  #ChangeIsHere",FALSE,0,NA,2016-10-08 09:51:01,FALSE,NA,"784692566822227968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lainehipolito3",1195,TRUE,FALSE,NA,NA
"868","RT @NigeriaNewsdesk: Philippines’ President Rodrigo Duterte dares CIA to ‘oust’ him https://t.co/OJl1jqlDlY via @todayng https://t.co/z78vK…",FALSE,0,NA,2016-10-08 09:50:52,FALSE,NA,"784692528020852737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MutomboDaPoet",5,TRUE,FALSE,NA,NA
"869","Worth the read...
""International relations matter to me but I am now ready to change our country’s narrative—a... https://t.co/JeyzEb98Ir",FALSE,0,NA,2016-10-08 09:50:24,FALSE,NA,"784692413604491264",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jhoyski927",0,FALSE,FALSE,NA,NA
"870","RT @CollectedN: ‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/LrvOiYoJYb",FALSE,0,NA,2016-10-08 09:49:31,FALSE,NA,"784692190924578820",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DOOM_ALERT",3,TRUE,FALSE,NA,NA
"871","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US… https://t.co/5M19r4sMQ1",FALSE,0,NA,2016-10-08 09:49:09,TRUE,NA,"784692098754719744",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","sheilaweeks",0,FALSE,FALSE,NA,NA
"872","@nakulve https://t.co/21hiPxe2w2",FALSE,0,"nakulve",2016-10-08 09:47:47,FALSE,"784691284153737217","784691752842080257","1559042011","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Just_Screams",0,FALSE,FALSE,NA,NA
"873","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/LrvOiYoJYb",FALSE,0,NA,2016-10-08 09:47:35,FALSE,NA,"784691700857970688",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","CollectedN",3,FALSE,FALSE,NA,NA
"874","Whooaah. Manolo Quezon III 's charactwler sketch of Duterte. https://t.co/Alex90h1YA",FALSE,1,NA,2016-10-08 09:47:24,FALSE,NA,"784691657824350208",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","nic_gabunada",0,FALSE,FALSE,NA,NA
"875","RT @Reuters: In the Philippines, a president's drug war relies upon the lowliest officials: https://t.co/HxwwQLw0qn https://t.co/CQQRdbqdwT",FALSE,0,NA,2016-10-08 09:46:16,FALSE,NA,"784691370728357888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fearoffreedom",33,TRUE,FALSE,NA,NA
"876","Filipijnse president Duterte wijst Amerikanen de deur https://t.co/mSZHoYcyfO",FALSE,0,NA,2016-10-08 09:45:05,FALSE,NA,"784691074098950144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StuivenbergInfo",0,FALSE,FALSE,NA,NA
"877","RT @SuperficialGZT: Today, we celebrate #100DaysofChange with beloved President Rodrigo Duterte. #PresidentDuterte #Duterte #100DaysOfDuter…",FALSE,0,NA,2016-10-08 09:44:58,FALSE,NA,"784691043480408064",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gapolicarpio",14,TRUE,FALSE,NA,NA
"878","RT @mindavote: The first 100 days of President Rodrigo Duterte has been met with widespread approval from his Filipinos, with... https://t.…",FALSE,0,NA,2016-10-08 09:44:30,FALSE,NA,"784690929038790656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","oretsellavinad",5,TRUE,FALSE,NA,NA
"879","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 09:44:19,FALSE,NA,"784690881538424832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElEglal",164,TRUE,FALSE,NA,NA
"880","The first 100 days of President Rodrigo Duterte has been met with widespread approval from his Filipinos, with... https://t.co/GK4rjBMXiU",FALSE,6,NA,2016-10-08 09:44:07,FALSE,NA,"784690828929150976",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","mindavote",5,FALSE,FALSE,NA,NA
"881","https://t.co/15JTwR5eJS",FALSE,0,NA,2016-10-08 09:43:54,FALSE,NA,"784690774671781888",NA,"<a href=""http://www.newsneck.com/"" rel=""nofollow"">News Neck</a>","NewsNeck",0,FALSE,FALSE,NA,NA
"882","Duterte Voices: ""On the President Rodrigo Duterte's #First100Days In Office"" https://t.co/Ip8OnSiSgE via @HuffPostBlog",FALSE,0,NA,2016-10-08 09:43:40,FALSE,NA,"784690719202041857",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jhoyski927",0,FALSE,FALSE,NA,NA
"883","RT @spiceemedia: Rodrigo #Duterte, le président qui traite #Obama de fils de pute et qui donne un permis de tuer aux citoyens https://t.co/…",FALSE,0,NA,2016-10-08 09:41:51,FALSE,NA,"784690259464450048",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nssommesunjourn",6,TRUE,FALSE,NA,NA
"884","RT @pompeelavina: Ayumi Endo will be unveiling surprise painting for President Rody Duterte on Oct. 10 &amp; 11, 2016

Keep Posted! https://t.c…",FALSE,0,NA,2016-10-08 09:41:18,FALSE,NA,"784690120108584960",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","infusiachai",4,TRUE,FALSE,NA,NA
"885","if trump becomes president idk whatll happen if he meets our president duterte",FALSE,0,NA,2016-10-08 09:40:16,FALSE,NA,"784689862167236608",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ascendiorre",0,FALSE,FALSE,NA,NA
"886","But the end never justifies the means. Maybe someone should tell him that... https://t.co/nYaVSoB0hD",FALSE,0,NA,2016-10-08 09:40:01,FALSE,NA,"784689797927473152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mgel_gg",0,FALSE,FALSE,NA,NA
"887","RT @spiceemedia: Rodrigo #Duterte, le président qui traite #Obama de fils de pute et qui donne un permis de tuer aux citoyens https://t.co/…",FALSE,0,NA,2016-10-08 09:39:59,FALSE,NA,"784689790105030656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeuletM",6,TRUE,FALSE,NA,NA
"888","RT @cnni: Philippines president Rodrigo Duterte says he plans to ""break up"" with the US, adding Barrack Obama can ""go to hell"" https://t.co…",FALSE,0,NA,2016-10-08 09:39:43,FALSE,NA,"784689725286285312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mikehydes",106,TRUE,FALSE,NA,NA
"889","RT @guardian: 'He's vulgar – but honest': Filipinos on Duterte's first 100 days in office https://t.co/mTAYSyDVTk",FALSE,0,NA,2016-10-08 09:39:43,FALSE,NA,"784689721796591617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SteveNickSmith",36,TRUE,FALSE,NA,NA
"890","Who can comment on democratically elected Presidents? https://t.co/dZGe7Gpbtu https://t.co/DmMMOSkaSA #Philippines #Duterte100Days",FALSE,2,NA,2016-10-08 09:39:27,FALSE,NA,"784689656826826752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aid_leap",0,FALSE,FALSE,NA,NA
